Country,Region,Year,AvgCelsiusTemp,CO2,F-Gas,N2O
Albania,Europe,1997,22.19,1.48,0.07,1.13
Albania,Europe,1998,16.45,1.8,0.09,1.17
Albania,Europe,1999,17.29,2.97,0.11,1.12
Albania,Europe,2000,17.32,3.17,0.12,1.18
Albania,Europe,2001,16.24,3.22,0.13,1.15
Albania,Europe,2002,17.39,3.75,0.14,1.29
Albania,Europe,2003,17.59,4.11,0.15,1.31
Albania,Europe,2004,16.4,4.29,0.15,1.27
Albania,Europe,2005,16.01,4.07,0.16,1.28
Albania,Europe,2006,15.49,4.05,0.19,1.22
Albania,Europe,2007,16.29,4.22,0.22,1.22
Albania,Europe,2008,15.92,4.17,0.25,1.14
Albania,Europe,2009,16.2,4.32,0.28,1.14
Albania,Europe,2010,15.87,4.58,0.31,1.13
Albania,Europe,2011,15.51,5.04,0.31,1.17
Albania,Europe,2012,15.73,4.58,0.31,1.18
Albania,Europe,2013,15.79,4.79,0.31,1.15
Albania,Europe,2014,15.92,5.22,0.31,1.17
Albania,Europe,2015,16.09,5.07,0.31,1.21
Albania,Europe,2016,15.96,4.93,0.29,1.25
Albania,Europe,2017,15.77,5.6,0.27,1.21
Albania,Europe,2018,16.72,5.56,0.25,1.1
Albania,Europe,2019,16.48,,,
Algeria,Africa,1995,18.01,73.05,0.11,4.16
Algeria,Africa,1996,17.52,71.41,0.19,4.27
Algeria,Africa,1997,18.29,72.83,0.26,4.15
Algeria,Africa,1998,17.57,74.54,0.33,4.72
Algeria,Africa,1999,18.29,77.54,0.4,4.65
Algeria,Africa,2000,17.88,78.59,0.48,7.4
Algeria,Africa,2001,18.15,74.77,0.74,7.56
Algeria,Africa,2002,17.85,80.41,1.0,7.37
Algeria,Africa,2003,18.61,83.84,1.26,7.61
Algeria,Africa,2004,17.83,84.89,1.52,8.28
Algeria,Africa,2005,17.17,88.99,1.78,7.66
Algeria,Africa,2006,18.29,93.75,2.25,8.01
Algeria,Africa,2007,17.56,100.52,2.73,8.01
Algeria,Africa,2008,17.77,103.99,3.21,7.7
Algeria,Africa,2009,18.17,112.77,3.69,8.26
Algeria,Africa,2010,17.93,113.14,4.17,8.51
Algeria,Africa,2011,18.31,118.14,4.32,9.11
Algeria,Africa,2012,17.94,126.64,4.47,10.03
Algeria,Africa,2013,17.61,129.91,4.62,10.58
