City,Country,Region,Year,AvgCelsiusTemp,CO2,F-Gas,N2O
Abidjan,Ivory Coast,Africa,1995,26.98717032967032,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,1996,26.952314049586793,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,1997,26.825083798882673,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,1998,27.2853462603878,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,1999,26.98506134969326,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2000,26.605157593123213,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2001,26.640638888888873,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2002,26.903754266211603,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2003,26.824850498338876,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2004,26.984928366762173,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2005,26.980493150684936,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2006,25.945576923076935,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2007,25.143928571428575,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2008,26.471460055096422,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2009,25.9135989010989,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2010,26.980739726027416,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2011,26.038119658119655,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2012,26.585519125683078,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2013,26.829561643835603,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2014,26.83596153846155,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2015,27.011648351648336,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2016,27.393774104683185,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2017,27.363698630137012,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2018,27.439889196675924,0.0,0.0,0.0
Abidjan,Ivory Coast,Africa,2019,27.509694444444445,0.0,0.0,0.0
Abilene,US,North America,1995,17.44317808219177,5126.9,115.29,272.69
