,Country,Country Code,Indicator Name,Indicator Code,Year,GDP,City,Region,AvgCelsiusTemp,CO2,F-Gas,N2O
0,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1997,2258515610.08862,Tirana,Europe,22.186956521739127,1.48,0.07,1.13
1,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1998,2545967253.2416,Tirana,Europe,16.451499999999996,1.8,0.09,1.17
2,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1999,3212119044.17089,Tirana,Europe,17.28727915194348,2.97,0.11,1.12
3,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2000,3480355188.60063,Tirana,Europe,17.32083573487032,3.17,0.12,1.18
4,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2001,3922099470.97313,Tirana,Europe,16.242040000000006,3.22,0.13,1.15
5,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2002,4348070165.19261,Tirana,Europe,17.38968354430379,3.75,0.14,1.29
6,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2003,5611492282.86582,Tirana,Europe,17.5862049861496,4.11,0.15,1.31
7,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2004,7184681398.5698,Tirana,Europe,16.40216438356164,4.29,0.15,1.27
8,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2005,8052075642.10781,Tirana,Europe,16.005895316804402,4.07,0.16,1.28
9,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2006,8896073938.31407,Tirana,Europe,15.486243093922656,4.05,0.19,1.22
10,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2007,10677321490.3807,Tirana,Europe,16.29401098901097,4.22,0.22,1.22
11,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2008,12881354103.8398,Tirana,Europe,15.924230769230784,4.17,0.25,1.14
12,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2009,12044223352.5413,Tirana,Europe,16.197811634349026,4.32,0.28,1.14
13,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2010,11926928505.5231,Tirana,Europe,15.871506849315075,4.58,0.31,1.13
14,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2011,12890765324.2256,Tirana,Europe,15.510082191780818,5.04,0.31,1.17
15,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2012,12319830252.4768,Tirana,Europe,15.733150684931523,4.58,0.31,1.18
16,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2013,12776217194.7928,Tirana,Europe,15.785232876712328,4.79,0.31,1.15
17,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2014,13228144008.3428,Tirana,Europe,15.918598901098902,5.22,0.31,1.17
18,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2015,11386846319.1589,Tirana,Europe,16.091181318681322,5.07,0.31,1.21
19,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2016,11861200797.4706,Tirana,Europe,15.962651933701666,4.93,0.29,1.25
20,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2017,13019693450.8816,Tirana,Europe,15.76901369863012,5.6,0.27,1.21
21,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2018,15147020535.3869,Tirana,Europe,16.720027777777773,5.56,0.25,1.1
22,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2019,15279183289.9372,Tirana,Europe,16.482222222222212,,,
23,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1995,41764052457.8814,Algiers,Africa,18.00570247933882,73.05,0.11,4.16
24,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1996,46941496779.8499,Algiers,Africa,17.51675824175823,71.41,0.19,4.27
25,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1997,48177862501.9495,Algiers,Africa,18.29249315068493,72.83,0.26,4.15
26,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1998,48187747528.899,Algiers,Africa,17.56634349030471,74.54,0.33,4.72
27,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1999,48640580406.7654,Algiers,Africa,18.29087912087913,77.54,0.4,4.65
28,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2000,54790233855.966,Algiers,Africa,17.87937158469944,78.59,0.48,7.4
29,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2001,54744725765.7191,Algiers,Africa,18.149835616438335,74.77,0.74,7.56
30,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2002,56760246981.7525,Algiers,Africa,17.852880886426583,80.41,1.0,7.37
31,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2003,67863841333.4195,Algiers,Africa,18.607252747252726,83.84,1.26,7.61
32,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2004,85325003122.0947,Algiers,Africa,17.826229508196725,84.89,1.52,8.28
33,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2005,103198251003.394,Algiers,Africa,17.173972602739735,88.99,1.78,7.66
34,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2006,117027321306.159,Algiers,Africa,18.294054794520537,93.75,2.25,8.01
35,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2007,134845573817.762,Algiers,Africa,17.562582417582433,100.52,2.73,8.01
36,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2008,171008067513.162,Algiers,Africa,17.765260273972608,103.99,3.21,7.7
37,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2009,137206139022.712,Algiers,Africa,18.171263736263743,112.77,3.69,8.26
38,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2010,161155315145.814,Algiers,Africa,17.92698630136986,113.14,4.17,8.51
39,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2011,200254371997.255,Algiers,Africa,18.3113698630137,118.14,4.32,9.11
40,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2012,209021250805.932,Algiers,Africa,17.939153005464494,126.64,4.47,10.03
41,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2013,209724351221.97,Algiers,Africa,17.613753424657542,129.91,4.62,10.58
