<<<<<<< HEAD
Death toll (estimate),Event,Location,Date,Year,Rank,Type
"4,000,000[1][nb 1]",1931 China floods,China,July 1931,July 1931,,
"2,000,000[2][3][4]",1887 Yellow River flood,China,September 1887,September 1887,,
"830,000[5]",1556 Shaanxi earthquake,China,"January 23, 1556","January 23, 1556",,
655000,1976 Tangshan earthquake,China,"July 28, 1976","July 28, 1976",,
"500,000+[1]",1970 Bhola cyclone,East Pakistan (now Bangladesh),"November 13, 1970","November 13, 1970",,
"316,000[6]",2010 Haiti earthquake,Haiti,"January 12, 2010","January 12, 2010",,
"300,000+[7]",526 Antioch earthquake,Byzantine Empire (now Turkey),May 526,May 526,,
"≈300,000[8]",1839 India Cyclone,"Andhra Pradesh, India","November 25, 1839","November 25, 1839",,
"273,400[9]",1920 Haiyuan earthquake,China,"December 16, 1920","December 16, 1920",,
229000,Typhoon Nina,China,"August 7, 1975","August 7, 1975",,
"1,000,000–4,000,000[1][nb 2]",1931 China floods,China,July 1931,July 1931,,
"242,000–655,000",1976 Tangshan earthquake,,"July 28, 1976","July 28, 1976",,
"500,000+[1]",1970 Bhola cyclone,East Pakistan (now Bangladesh),November 1970,November 1970,,
"100,000-316,000[10]",2010 Haiti earthquake,,"January 12, 2010","January 12, 2010",,
273400,1920 Haiyuan earthquake,China,"December 16, 1920","December 16, 1920",,
229000,Typhoon Nina—also contributed to Banqiao Dam failure,China,"August 7, 1975","August 7, 1975",,
227898,2004 Indian Ocean earthquake and tsunami,Indian Ocean,"December 26, 2004","December 26, 2004",,
145000,1935 Yangtze flood,China,1935,1935,,
143000,1923 Great Kantō earthquake,Japan,"September 1, 1923","September 1, 1923",,
138866,1991 Bangladesh cyclone,Bangladesh,"April 29, 1991","April 29, 1991",,
"32,700–32,968",1939 Erzincan earthquake,Turkey,December 27,1939,,Earthquake
1000,1940 Vrancea earthquake,Romania,November 10,1940,,Earthquake
1200,1941 Jizan earthquake,Saudi Arabia,January 11,1941,,Earthquake
61000,1942 West Bengal cyclone,"West Bengal, India",October 14–18,1942,,Tropical cyclone
4020,1943 Tosya–Ladik earthquake,Turkey,November 27,1943,,Earthquake
10000,1944 San Juan earthquake,Argentina,January 15,1944,,Earthquake
4000,1945 Balochistan earthquake,India,November 28,1945,,Earthquake
2550,1946 Dominican Republic earthquake,Dominican Republic,August 4,1946,,Earthquake
1077,Typhoon Kathleen,Japan,September 15,1947,,Tropical cyclone
"10,000–110,000",1948 Ashgabat earthquake,"Russia, Iran",October 6,1948,,Earthquake
40000,1949 Eastern Guatemalan floods,Guatemala,September 28 – October 14,1949,,Flood
2910,1950 Pakistan flood,Pakistan,,1950,,Flood
4800,1951 Manchuria flood,China,September 18,1951,,Flood
2336,1952 Severo-Kurilsk earthquake,Russia,November 4,1952,,Earthquake
2566,1953 Japan floods,Japan,July,1953,,Flood
33000,1954 Yangtze floods,China,June–September,1954,,Flood
"1,023+",Hurricane Janet,"Lesser Antilles, Mexico",September 22–30,1955,,Tropical cyclone
4935,Typhoon Wanda (1956),China,August 1,1956,,Tropical cyclone
1200,1957 Hamadan Province earthquake,Iran,December 13,1957,,Earthquake
1269,Typhoon Ida (1958),Japan,September 26,1958,,Tropical cyclone
"5,000+",Typhoon Vera,Japan,September 26,1959,,Tropical cyclone
14174,Severe Cyclonic Storm Ten,East Pakistan,October 31,1960,,Tropical cyclone
11468,Cyclone Winnie,East Pakistan,May 6–9,1961,,Tropical cyclone
12225,1962 Buin Zahra earthquake,Iran,September 1,1962,,Earthquake
22000,May 1963 East Pakistan II cyclone,East Pakistan,May 28,1963,,Tropical cyclone
7000,Tropical Storm Joan (1964),Vietnam,November 4–11,1964,,Tropical cyclone
